time_ms,event,task
0.424,in,Tmr Svc
1.010,out,Tmr Svc
1.152,in,argProvider1
15.799,out,argProvider1
16.354,in,argProvider2
16.587,out,argProvider2
16.699,in,TX
16.894,out,TX
16.937,in,IDLE
17.118,out,IDLE
17.217,in,argProvider1
18.132,out,argProvider1
18.242,in,argProvider2
19.129,out,argProvider2
19.233,in,IDLE
20.311,out,IDLE
20.399,in,argProvider1
22.106,out,argProvider1
22.195,in,argProvider2
23.112,out,argProvider2
23.199,in,IDLE
24.406,out,IDLE
24.572,in,argProvider1
25.191,out,argProvider1
25.369,in,argProvider2
26.180,out,argProvider2
26.264,in,IDLE
27.199,out,IDLE
27.360,in,argProvider1
28.142,out,argProvider1
28.976,in,argProvider2
29.700,out,argProvider2
30.350,in,IDLE
34.149,out,IDLE
35.733,in,argProvider1
36.124,out,argProvider1
36.639,in,argProvider2
45.938,out,argProvider2
46.355,in,IDLE
50.858,out,IDLE
53.230,in,argProvider1
55.427,out,argProvider1
55.964,in,argProvider2
61.814,out,argProvider2
62.173,in,IDLE
63.727,out,IDLE
64.168,in,argProvider1
64.482,out,argProvider1
66.767,in,argProvider2
78.126,out,argProvider2
78.745,in,IDLE
80.552,out,IDLE
80.900,in,argProvider1
81.375,out,argProvider1
83.573,in,argProvider2
83.907,out,argProvider2
84.831,in,IDLE
85.972,out,IDLE
86.477,in,Tmr Svc
86.866,out,Tmr Svc
87.262,in,argProvider1
93.096,out,argProvider1
93.604,in,argProvider2
94.911,out,argProvider2
95.202,in,IDLE
95.575,out,IDLE
95.898,in,argProvider1
107.714,out,argProvider1
108.034,in,argProvider2
109.544,out,argProvider2
110.001,in,IDLE
110.947,out,IDLE
111.345,in,argProvider1
123.490,out,argProvider1
123.904,in,argProvider2
126.037,out,argProvider2
126.385,in,IDLE
126.787,out,IDLE
127.161,in,argProvider1
138.948,out,argProvider1
139.248,in,argProvider2
140.610,out,argProvider2
140.938,in,IDLE
141.363,out,IDLE
141.749,in,argProvider1
142.212,out,argProvider1
142.626,in,argProvider2
143.067,out,argProvider2
143.143,in,IDLE
144.525,out,IDLE
144.998,in,Tmr Svc
145.462,out,Tmr Svc
145.851,in,argProvider1
146.182,out,argProvider1
146.804,in,argProvider2
147.372,out,argProvider2
147.927,in,IDLE
150.072,out,IDLE
150.394,in,argProvider1
150.822,out,argProvider1
151.147,in,argProvider2
154.775,out,argProvider2
155.072,in,IDLE
155.852,out,IDLE
156.148,in,argProvider1
156.521,out,argProvider1
156.850,in,argProvider2
157.221,out,argProvider2
157.550,in,IDLE
157.920,out,IDLE
158.242,in,argProvider1
158.616,out,argProvider1
158.939,in,argProvider2
159.317,out,argProvider2
159.652,in,IDLE
160.296,out,IDLE
161.282,in,argProvider1
161.716,out,argProvider1
162.153,in,argProvider2
162.544,out,argProvider2
162.877,in,IDLE
163.361,out,IDLE
163.645,in,argProvider1
164.349,out,argProvider1
166.269,in,argProvider2
166.560,out,argProvider2
166.938,in,IDLE
170.344,out,IDLE
170.769,in,argProvider1
171.385,out,argProvider1
171.672,in,argProvider2
172.031,out,argProvider2
172.382,in,IDLE
172.850,out,IDLE
173.195,in,argProvider1
173.526,out,argProvider1
173.866,in,argProvider2
174.283,out,argProvider2
174.701,in,IDLE
175.296,out,IDLE
175.676,in,argProvider1
176.284,out,argProvider1
176.588,in,argProvider2
177.262,out,argProvider2
178.096,in,IDLE
178.584,out,IDLE
179.000,in,Tmr Svc
179.369,out,Tmr Svc
180.983,in,argProvider1
181.192,out,argProvider1
181.866,in,argProvider2
186.151,out,argProvider2
186.569,in,IDLE
187.358,out,IDLE
187.803,in,argProvider1
201.102,out,argProvider1
201.468,in,argProvider2
